DATE;TIME;DAY;NAMESHORT_SB;SIGNAL;PRICE
2018-03-09;09:23;Friday;ENRO.ST;BUY;0.0523
2018-03-13;09:45;Tuesday;BRIG.ST;BUY;8.60
2018-03-29;12:33;Thursday;MEDR-B.ST;BUY;6.18
2018-04-16;21:05;Monday;ACTI.ST;BUY;2.680
2018-04-17;15:06;Tuesday;DIVI-B.NGM;BUY;0.328
2018-04-17;15:48;Tuesday;DIVI-B.NGM;SELL;0.312
2018-04-18;14:08;Wednesday;DIVI-B.NGM;BUY;0.319
