NAMESHORT_SB;NAME_SB
43464.ST;STOCKWIK FORVALTNING
43720.ST;MYCRONIC
43825.ST;I.A.R SYSTEMS GROUP
47307.ST;NORDIC LEISURE
66669.ST;ALLTELE
