NAMESHORT_SB;NAME_SB;PRICE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
CRWN;CROWN ENERGY;3.1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1DHN&marketid=13
DIVI-B.NGM;DIVIDEND SWEDEN;0.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33RG&marketid=13
ELEC.ST;ELECTRA GRUPPEN;66;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELEC.ST;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66436&marketid=11
EOID.NGM;EYEONID GROUP;11.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13
FRNT-B.NGM;FRONTOFFICE NORDIC B;3.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37HJ&marketid=13
GTAB B;GLYCOREX TRANSPLANTATION B;2.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB B;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2E&marketid=13
GTGS.NGM;GOLD TOWN GAMES;5.6;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3AJN&marketid=13
GUGEO.NGM;GUIDELINE GEO;7.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=20E&marketid=13
HM-B.ST;HENNES & MAURITZ B;128.44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=992&marketid=11
IS.ST;IMAGE SYSTEMS;2.28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST;N/A;N/A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3571&marketid=11
