NAMESHORT_SB;NAME_SB;NAMESHORT_NORDNET;NAME_NORDNET;PRICE;URL_SB;URL_NN
DIVI-B.NGM;DIVIDEND SWEDEN;;Dividend Sweden B;0.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33RG&marketid=13
ELEC.ST;ELECTRA GRUPPEN;;Electra Gruppen AB;66;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELEC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66436&marketid=11
EOID.NGM;EYEONID GROUP;;;11.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13
FRNT-B.NGM;FRONTOFFICE NORDIC B;;;3.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37HJ&marketid=13
GTAB B;GLYCOREX TRANSPLANTATION B;;;2.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2E&marketid=13
GTGS.NGM;GOLD TOWN GAMES;;;5.6;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3AJN&marketid=13
GUGEO.NGM;GUIDELINE GEO;;;7.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=20E&marketid=13
HM-B.ST;HENNES & MAURITZ B;;;128.44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=992&marketid=11
IS.ST;IMAGE SYSTEMS;;;2.28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3571&marketid=11
KOBR MTFB;KOPPARBERGS B;;;184;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOBR MTFB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=KKY&marketid=13
MAHA-A.ST;MAHA ENERGY;;;6.71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAHA-A.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=124631&marketid=11
MERT-A.NGM;MERTIVA;;;38.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MERT-A.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1M0C&marketid=13
MULT.NGM;MULTIDOCKER CARGO HANDLING;;;0.55;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MULT.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3K33&marketid=13
NET-B.ST;NETENT;;;44.9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NET-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=62494&marketid=11
NICKE.NGM;NICKEL MOUNTAIN RESOURCES;;;0.218;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICKE.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3JDK&marketid=13
