NAMESHORT_SB;NAME_SB;PRICE;NAME_NORDNET;NAMESHORT_NORDNET;GROUP_BUY;MARKET_ID;IDENTIFIER_ID;URL_SB;URL_NN;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
BEGR.ST;BE GROUP;52.3;BE Group AB;BEGR;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;37309;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;31.0;70.0;4.94;2.62;-1.41;7.31;-1.28;5.7;3.51;4.59;-0.74;-1.01;0.69;1.39;2.77;3.58;2.08;2.19;1.26
IMMNOV.ST;IMMUNOVIA;166.0;Immunovia AB;IMMNOV;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;115966;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115966&marketid=11;38.0;62.2;5.28;2.42;-2.1;9.79;-1.78;7.63;4.01;5.23;-1.14;-1.81;0.83;1.23;2.87;3.42;2.04;2.19;1.0
ORX.ST;OREXO;35.0;Orexo AB;ORX;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;31885;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=31885&marketid=11;37.0;55.6;5.8;3.74;-2.03;8.64;-1.79;8.4;3.85;3.87;-1.14;-1.43;0.7;2.02;2.71;2.44;2.01;0.42;1.5
NOTE.ST;NOTE;22.5;NOTE AB;NOTE;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;25319;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25319&marketid=11;31.0;70.0;4.31;2.11;-1.14;6.63;-1.3;5.12;3.09;4.2;-0.53;-0.79;0.72;1.0;2.56;3.41;1.84;2.41;1.29
RAY-B.ST;RAYSEARCH LABORATORIES B;107.2;RaySearch Laboratories AB ser. B;RAY B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;1063;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;32.0;62.5;6.13;3.16;-0.9;9.04;-0.47;6.67;3.93;5.25;-0.89;-2.04;1.25;1.48;3.04;3.21;1.79;1.73;2.4
BIOT.ST;BIOTAGE;102.0;Biotage AB;BIOT;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;5209;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;36.0;68.6;4.58;2.24;-1.8;8.66;-1.96;7.49;4.43;5.28;-1.23;-1.37;1.46;1.85;3.2;3.91;1.74;2.06;1.0
HTRO.ST;HEXATRONIC GROUP;61.4;Hexatronic Group AB;HTRO;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;82816;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11;35.0;73.5;5.31;2.56;-1.88;9.19;-1.82;7.04;4.57;6.14;-1.22;-1.27;1.67;2.21;3.35;4.87;1.68;2.66;1.25
SPOR.ST;SPORTAMORE;104.4;Sportamore AB;SPOR;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;90180;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11;34.0;66.7;5.39;3.62;-1.47;8.76;-1.23;5.52;3.19;5.27;-0.8;-1.49;0.71;1.27;2.39;3.78;1.68;2.51;1.35
ENQ.ST;ENQUEST;4.085;EnQuest PLC;ENQ;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;75073;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11;36.0;71.4;7.42;3.78;-2.98;10.79;-2.07;7.32;4.53;6.74;-0.84;-0.13;2.04;4.39;3.69;6.61;1.65;2.22;1.19
ACAN-B.ST;ACANDO;31.0;Acando AB ser. B;ACAN B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;981;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11;32.0;71.0;3.61;2.81;-1.63;5.72;-1.27;4.38;2.64;3.48;-0.42;-0.86;0.61;0.96;2.22;2.62;1.61;1.66;1.02
CTT.ST;CTT SYSTEMS;194.8;CTT Systems AB;CTT;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;3081;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11;33.0;75.8;4.45;2.41;-0.84;7.84;-0.56;4.79;3.37;5.61;-0.85;-1.16;0.91;1.28;2.52;4.45;1.61;3.17;1.0
G5EN.ST;G5 ENTERTAINMENT;558.0;G5 Entertainment AB;G5EN;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;60158;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;36.0;85.7;8.5;5.41;-3.54;12.86;-3.32;7.12;5.45;10.34;-1.61;-1.8;2.28;2.9;3.84;8.54;1.56;5.64;1.0
SOF-B.ST;SOFTRONIC B;21.1;Softronic AB ser. B;SOF B;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;1546;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1546&marketid=11;31.0;54.8;3.06;1.7;-1.39;6.94;-1.32;5.73;2.52;3.15;-0.41;-0.62;0.64;0.88;2.11;2.53;1.47;1.65;1.0
CCC.ST;CAVOTEC;25.7;Cavotec SA;CCC;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;84962;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=84962&marketid=11;30.0;51.7;3.86;2.17;-1.71;6.74;-1.27;6.41;2.69;2.65;-0.81;-0.88;0.47;1.0;1.88;1.77;1.41;0.77;1.22
CTM.ST;CATENA MEDIA;139.8;Catena Media P.L.C;CTM;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;11;119018;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11;36.0;62.9;4.26;2.56;-2.5;7.7;-2.04;5.99;2.95;3.85;-0.68;-1.2;0.86;1.47;2.27;2.65;1.41;1.18;1.0
