NAMESHORT_SB;NAME_SB;URL_SB;URL_NN;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;ACTIVE;ACTIVE_TEMP;AMOUNT_HELD;PRICE;PRICE_TEMP
CTT.ST;CTT SYSTEMS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11;CTT Systems AB;CTT;11;3081;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;194.8;
G5EN.ST;G5 ENTERTAINMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;G5 Entertainment AB;G5EN;11;60158;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;558.0;
SOF-B.ST;SOFTRONIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1546&marketid=11;Softronic AB ser. B;SOF B;11;1546;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;21.1;
CCC.ST;CAVOTEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=84962&marketid=11;Cavotec SA;CCC;11;84962;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;25.7;
CTM.ST;CATENA MEDIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11;Catena Media P.L.C;CTM;11;119018;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;139.8;
AAP-B.ST;ARC AROMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;Arc Aroma Pure AB;AAP B;11;93180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;40.95;
PXXS-SDB.ST;PEARL EXPLORATION AND PROD GDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PXXS-SDB.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41187&marketid=11;BlackPearl Resources Inc. SDB;PXXS SDB;11;41187;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;9.59;
TETY.ST;TETHYS OIL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=24588&marketid=11;Tethys Oil AB;TETY;11;24588;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;91.35;
FPIP.ST;FORMPIPE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72565&marketid=11;FormPipe Software AB;FPIP;11;72565;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;16.25;
MSON-B.ST;MIDSONA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3922&marketid=11;Midsona AB ser. B;MSON B;11;3922;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;66.5;
GHP.ST;GHP SPECIALTY CARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=59064&marketid=11;GHP Specialty Care AB;GHP;11;59064;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;9.89;
QLRO.ST;QLIRO GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79303&marketid=11;Qliro Group AB;QLRO;11;79303;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;10.1;
BRIG.ST;BRIGHTER AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11;Brighter AB;BRIG;11;86375;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;8.04;
XANO-B.ST;XANO INDUSTRI B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1074&marketid=11;XANO Industri AB ser. B;XANO B;11;1074;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;265.0;
PACT.ST;PROACT IT GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PACT.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4003&marketid=11;Proact IT Group AB;PACT;11;4003;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;171.0;
BIOG-B.ST;BIOGAIA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=959&marketid=11;BioGaia AB ser. B;BIOG B;11;959;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;390.5;
NOLA-B.ST;NOLATO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=923&marketid=11;Nolato AB ser. B;NOLA B;11;923;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;749.0;
TRANS.ST;TRANSTEMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=109528&marketid=11;Transtema Group AB;TRANS;11;109528;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;;;;25.15;
