NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
BIM.ST;BIMOBJECT;38.1;47.1;136;61.5;229;66.7;1681;58.4;682;9.42;4.43;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;11;99204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11
BINV.ST;BIOINVENT INTERNATIONAL;1.97;53.3;113;60.7;180;64.4;378;59.5;223;3.84;2.58;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;11;13348;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13348&marketid=11
BIOG-B.ST;BIOGAIA B;375.5;52.6;131;55.6;168;61.2;248;56.5;182;2.95;1.37;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;11;959;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=959&marketid=11
BIOS.ST;BIOSERVO TECHNOLOGIES;18.05;45.8;90;50.0;117;50.0;117;48.6;108;2.47;-0.57;13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOS.ST;N/A;N/A;N/A
BIOT.ST;BIOTAGE;77.5;57.1;158;66.7;275;63.0;464;62.3;299;4.74;2.04;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;11;5209;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11
BIOVIC-B.ST;BIOVICA INTERNATIONAL;10.9;73.3;109;76.2;163;76.2;163;75.2;145;4.71;1.28;10;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOVIC-B.ST;11;135531;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135531&marketid=11
BMAX.ST;BYGGMAX GROUP;48.55;36.8;101;48.6;119;52.0;136;45.8;118;1.11;-0.38;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST;11;75712;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75712&marketid=11
BOL.ST;BOLIDEN;296.2;71.4;125;70.3;121;61.0;209;67.6;151;2.32;0.68;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;11;15285;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=15285&marketid=11
BONAV-A.ST;BONAVA A;120.5;76.5;114;61.0;121;58.7;149;65.4;128;1.43;0.73;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST;11;122974;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122974&marketid=11
BONAV-B.ST;BONAVA B;121.0;61.9;100;53.7;110;57.1;140;57.6;116;1.25;0.72;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST;11;122975;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122975&marketid=11
BONG.ST;BONG;1.115;46.7;107;42.4;125;43.3;151;44.1;127;1.44;-0.61;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST;11;892;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=892&marketid=11
BOOZT.ST;BOOZT;76.2;53.3;132;56.2;133;56.2;133;55.2;132;2.09;0.33;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOOZT.ST;11;138479;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138479&marketid=11
BORG.ST;BJORN BORG;26.75;57.1;125;60.0;139;54.5;224;57.2;162;2.02;0.0;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BORG.ST;11;40286;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40286&marketid=11
BOUL.ST;BOULE DIAGNOSTICS;287.0;75.0;124;72.7;210;75.0;1327;74.2;553;7.55;2.91;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;11;82889;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82889&marketid=11
BRAV.ST;BRAVIDA HOLDING;59.85;73.7;115;62.2;113;49.4;106;61.8;111;0.71;-0.06;40;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRAV.ST;11;113960;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113960&marketid=11
BRE2.ST;BREDBAND2 I SKANDINAVIEN;1.41;47.1;117;40.7;114;43.9;151;43.9;127;2.26;0.81;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST;11;34627;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34627&marketid=11
BRG-B.ST;BERGS TIMBER B;2.6;41.2;95;51.4;111;46.7;113;46.4;106;0.92;0.0;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;11;891;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=891&marketid=11
BRIG.ST;BRIGHTER AB;8.39;57.9;139;62.9;408;63.1;1214;61.3;587;9.11;4.61;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;11;86375;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;5.55;60.0;212;59.1;354;59.1;354;59.4;306;17.14;0.77;11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST;N/A;N/A;N/A
BRIN-B.ST;BRINOVA FASTIGHETER;11.9;26.7;91;36.0;95;40.7;104;34.5;96;0.66;-0.73;13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIN-B.ST;11;127241;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=127241&marketid=11
BRIOX.NGM;BRIOX;3.8;42.9;96;50.0;149;37.9;102;43.6;115;0.74;-3.5;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;N/A;N/A;N/A
BTS-B.ST;BTS GROUP B;104.0;68.8;105;55.6;96;50.0;105;58.1;102;1.05;0.27;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST;11;13288;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13288&marketid=11
BUFAB.ST;BUFAB;108.8;72.7;123;67.5;170;64.1;279;68.1;190;2.67;0.98;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;11;99667;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99667&marketid=11
BULTEN.ST;BULTEN;111.4;50.0;107;69.4;151;59.2;192;59.5;150;2.01;1.6;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST;11;82239;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82239&marketid=11
BURE.ST;BURE EQUITY;93.1;50.0;96;58.8;132;55.3;200;54.7;142;2.48;0.64;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST;11;800;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=800&marketid=11
BUSER.ST;BAMBUSER;0.8;70.0;101;70.8;106;70.8;106;70.5;104;-1.44;0.16;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUSER.ST;11;136907;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136907&marketid=11
BWL.ST;BRINGWELL;;;;;;;;;;;;;;N/A;N/A;N/A
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;34.6;52.6;126;51.1;119;49.0;118;50.9;121;0.6;-0.11;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BYGGP.ST;11;129518;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129518&marketid=11
CAMX.ST;CAMURUS;113.0;82.4;110;80.6;147;73.8;352;78.9;203;4.16;1.9;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;11;115961;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115961&marketid=11
CANTA.ST;CANTARGIA;8.04;66.7;158;71.4;239;63.1;275;67.1;224;3.14;2.01;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;11;107644;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107644&marketid=11
CAPAC.ST;CAPACENT HOLDING;39.0;52.9;138;54.8;147;61.8;228;56.5;171;2.34;1.16;27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST;11;113748;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113748&marketid=11
CAPIO.ST;CAPIO;42.85;40.0;93;52.5;100;51.2;109;47.9;100;0.55;0.21;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPIO.ST;11;110740;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110740&marketid=11
CASO.ST;CASSANDRA OIL;0.3845;73.3;231;62.1;251;65.1;436;66.8;306;2.73;0.46;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST;11;25660;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25660&marketid=11
CAST.ST;CASTELLUM;136.15;52.9;106;54.1;121;50.6;125;52.5;117;0.97;0.55;40;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAST.ST;11;966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=966&marketid=11
CAT-A.ST;CATELLA A;21.3;72.7;114;57.6;142;60.0;164;63.4;140;1.68;-0.22;17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST;N/A;N/A;N/A
CAT-B.ST;CATELLA B;20.6;45.8;98;53.5;121;53.2;146;50.8;121;1.23;0.8;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;11;62559;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=62559&marketid=11
CATE.ST;CATENA;156.2;63.2;105;60.6;122;57.6;134;60.5;120;1.52;0.86;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST;N/A;N/A;N/A
CBA.ST;CYBAERO;1.46;62.5;118;68.8;517;65.2;1035;65.5;556;4.65;3.51;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;11;40870;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40870&marketid=11
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;19.15;50.0;100;50.0;99;44.1;98;48.0;99;0.29;-0.45;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST;11;103391;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103391&marketid=11
CCC.ST;CAVOTEC;22.8;64.3;108;54.8;120;59.0;221;59.4;149;2.4;-0.18;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;11;84962;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=84962&marketid=11
CCOR-B.ST;CONCORDIA MARITIME B;10.9;70.0;113;42.9;90;45.8;95;52.9;99;0.86;0.0;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCOR-B.ST;11;971;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=971&marketid=11
CE.ST;CORTUS ENERGY;0.72;66.7;153;68.8;540;68.8;5463;68.1;2052;12.5;3.98;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;N/A;N/A;N/A
CELLNK-B.ST;CELLINK;142.5;69.6;168;70.7;223;72.1;284;70.8;225;5.21;1.53;21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST;11;128490;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128490&marketid=11
CEVI.ST;CELLAVISION;144.7;65.4;126;68.2;253;67.0;780;66.9;386;4.71;1.69;44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;11;40679;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40679&marketid=11
CFISH.ST;CRUNCHFISH;14.4;50.0;141;51.2;359;50.0;378;50.4;292;5.96;-0.51;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST;11;128641;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128641&marketid=11
CHRO.ST;CHROMOGENICS;0.8;83.3;171;88.9;211;88.9;211;87.0;197;2.98;1.01;9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;11;135174;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135174&marketid=11
CI-B.ST;CELL IMPACT B;10.7;50.0;217;40.0;204;56.1;1026;48.7;482;6.4;-0.84;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;N/A;N/A;N/A
CINN.ST;CINNO FIN TECH;60.1;68.8;115;63.9;133;64.7;279;65.8;175;3.42;0.65;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;11;102935;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102935&marketid=11
CLA-B.ST;CLOETTA B;32.18;68.8;124;55.0;104;52.6;156;58.8;128;1.58;0.59;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST;11;63225;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=63225&marketid=11
CLAS-B.ST;CLAS OHLSON B;97.0;58.3;102;52.3;114;48.8;121;53.1;112;0.38;0.0;42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST;11;4145;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4145&marketid=11
CLAV.ST;CLAVISTER HOLDING;19.56;75.0;157;68.8;383;71.0;735;71.6;425;4.25;1.77;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST;11;100970;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100970&marketid=11
CLBIO.ST;CORLINE BIOMED;10.5;55.6;105;52.9;120;52.8;303;53.8;176;2.97;0.0;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST;11;110074;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110074&marketid=11
CLDRE-B.NGM;CLOUDREPUBLIC;8.14;55.0;52;52.2;44;52.2;44;53.1;46;-1.16;-3.64;11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLDRE-B.NGM;N/A;N/A;N/A
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;;;;;;N/A;N/A;N/A
CLEM.ST;CLEMENDO GROUP;1.46;71.4;99;53.3;96;53.3;182;59.3;125;2.7;1.03;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST;11;98835;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98835&marketid=11
CLEMO.ST;CLEAN MOTION;9.92;58.3;113;56.2;194;54.2;198;56.2;168;2.77;0.0;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST;N/A;N/A;N/A
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;12.75;58.8;209;63.6;314;52.1;497;58.2;340;4.64;-0.73;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;11;65182;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=65182&marketid=11
CLX.ST;CLX COMMUNICATIONS;61.8;45.5;132;48.5;155;47.7;248;47.2;178;2.55;0.82;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST;11;113927;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113927&marketid=11
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;30.4;61.5;241;62.1;280;61.3;277;61.6;266;4.66;-0.63;15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CMOTEC-B.ST;11;129569;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129569&marketid=11
COGS.ST;COGNOSEC;0.335;75.0;168;57.7;283;58.3;494;63.7;315;9.8;5.34;18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;11;126905;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126905&marketid=11
COIC.ST;CONCENTRIC;145.4;45.8;110;56.5;131;56.5;181;52.9;140;1.51;0.53;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST;11;82656;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82656&marketid=11
COLL.ST;COLLECTOR;70.2;75.0;121;53.8;102;56.8;156;61.9;126;0.92;0.23;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST;11;110079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110079&marketid=11
COMH.ST;COM HEM HOLDING;138.5;66.7;114;57.6;124;55.6;166;60.0;134;2.15;0.56;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST;11;101281;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101281&marketid=11
COMPI.NGM;COMPUTER INNOVATION I VAXJO;0.091;45.0;87;48.6;61;54.2;193;49.3;113;3.59;-1.06;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;N/A;N/A;N/A
CONS-B.ST;CONSILIUM B;58.4;75.0;129;58.1;131;62.3;224;65.1;161;1.95;0.72;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CONS-B.ST;11;803;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=803&marketid=11
COOR.ST;COOR SERVICE MANAGEMENT;65.5;61.1;126;63.2;150;59.0;230;61.1;168;2.67;0.9;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;11;110382;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110382&marketid=11
COPP-B.ST;COPPERSTONE RESOURCE;1.121;50.0;139;60.0;379;65.6;2079;58.5;865;11.8;3.36;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;11;38904;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11
CORE.ST;COREM PROPERTY GROUP;;;;;;;;;;;;;;N/A;N/A;N/A
CORE-PREF.ST;COREM PROPERTY GROUP PRF;311.5;52.9;106;51.7;116;52.5;121;52.4;114;0.62;0.25;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;11;74282;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74282&marketid=11
CRAD-B.ST;C-RAD B;33.85;68.8;143;75.0;357;64.1;523;69.3;341;6.83;1.63;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;11;74313;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11
CRED-A.ST;CREADES A;335.5;60.0;122;68.4;171;65.0;248;64.5;180;2.9;2.46;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRED-A.ST;11;86903;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86903&marketid=11
CRWN;CROWN ENERGY;3.29;78.6;111;64.5;219;58.0;286;67.0;205;3.86;0.87;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;N/A;N/A;N/A
CTM.ST;CATENA MEDIA;123.9;44.4;144;44.7;169;50.0;269;46.4;194;3.15;1.81;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST;11;119018;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119018&marketid=11
CTT.ST;CTT SYSTEMS;154.2;65.2;127;65.7;151;64.6;544;65.2;274;5.82;3.29;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;11;3081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11
CYXO.ST;CYXONE;10.16;58.3;146;50.0;189;51.7;236;53.3;190;3.26;-0.21;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CYXO.ST;11;123240;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123240&marketid=11
DCAR-B.ST;D CARNEGIE & CO B;125.2;73.3;108;79.3;128;79.2;213;77.3;149;3.44;1.13;26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;11;100378;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100378&marketid=11
DDM.ST;DDM HOLDING;48.5;52.6;110;51.4;139;51.3;152;51.8;133;2.08;1.52;19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST;11;102079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102079&marketid=11
DEDI.ST;DEDICARE AB;77.0;66.7;159;65.8;193;60.3;664;64.3;338;5.12;1.31;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;11;81878;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81878&marketid=11
DEFL-B.ST;DEFLAMO B;0.1315;73.3;755;70.8;533;61.2;454;68.4;580;4.39;-1.2;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEFL-B.ST;11;60687;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60687&marketid=11
DELARK.ST;DELARKA HOLDING;111.0;31.8;88;34.1;81;35.5;79;33.8;82;-0.06;-0.32;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DELARK.ST;11;98836;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98836&marketid=11
DIAH.ST;DIADROM HOLDING;17.0;50.0;101;50.0;115;50.0;115;50.0;110;1.29;0.54;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST;11;40563;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40563&marketid=11
DIGN.ST;DIGNITANA;4.7;66.7;557;55.6;658;57.1;1001;59.8;738;6.86;-0.57;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;11;66773;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66773&marketid=11
DIOS.ST;DIOS FASTIGHETER;55.25;36.4;99;47.6;126;51.3;138;45.1;121;1.34;0.21;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;11;34271;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34271&marketid=11
DIST.ST;DISTIT;40.9;60.0;122;59.3;133;55.7;274;58.3;176;3.44;-0.17;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;11;81545;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81545&marketid=11
DIVI-B.NGM;DIVIDEND SWEDEN;0.337;68.8;171;65.4;295;72.2;1741;68.8;735;9.96;2.96;27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;N/A;N/A;N/A
DMYD-B.ST;DIAMYD MEDICAL B;3.495;50.0;114;44.4;95;43.1;160;45.8;123;2.11;-0.98;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST;11;94266;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=94266&marketid=11
DOM.ST;DOMETIC GROUP;85.0;56.5;111;67.4;138;65.3;178;63.1;142;1.98;1.42;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOM.ST;11;115619;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115619&marketid=11
DOME.ST;DOME ENERGY;0.534;50.0;107;52.5;157;57.1;387;53.2;217;3.61;0.22;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST;N/A;N/A;N/A
DORO.ST;DORO;43.1;76.9;120;66.7;148;71.0;262;71.5;176;1.93;0.48;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;11;896;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=896&marketid=11
DOXA.ST;DOXA;1.19;75.0;226;66.7;292;59.0;512;66.9;343;4.66;1.05;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;11;100241;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100241&marketid=11
DRIL.ST;DRILLCON;7.0;50.0;130;46.4;159;51.6;211;49.3;166;2.73;0.4;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DRIL.ST;11;35729;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35729&marketid=11
DUNI.ST;DUNI;114.2;53.3;114;51.4;120;58.9;146;54.5;126;1.4;0.56;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUNI.ST;11;49775;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49775&marketid=11
DURC-B.ST;DUROC B;23.9;68.4;155;65.9;244;65.2;295;66.5;231;3.33;1.58;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DURC-B.ST;11;4005;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4005&marketid=11
DUST.ST;DUSTIN GROUP;76.7;72.2;116;68.4;137;52.4;115;64.3;122;0.82;0.37;42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST;11;106202;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106202&marketid=11
EAST.ST;EASTNINE;89.1;53.3;120;51.9;136;54.4;193;53.2;149;2.97;1.87;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST;11;49615;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49615&marketid=11
EDGE.ST;EDGEWARE;17.9;33.3;69;56.8;91;59.0;93;49.7;84;0.3;0.0;19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST;11;129609;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129609&marketid=11
EFFP.ST;EFFNETPLATTFORMEN;12.7;19.0;66;33.3;69;33.3;69;28.5;68;-1.17;-1.92;19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EFFP.ST;11;131602;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=131602&marketid=11
