NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
AIK-B.NGM;AIK FOTBALL B;23.5;95;42.4;98;40.3;122;35.4;105;1.25;-0.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;N/A;N/A;N/A
AINO.ST;AINO HEALTH;57.1;179;51.5;221;48.6;198;52.4;199;0.36;-0.6;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST;11;130478;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130478&marketid=11
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;64.7;102;41.0;99;43.3;109;49.7;103;0.42;0.15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;N/A;N/A;N/A
ALCA.ST;ALCADON GROUP;87.5;132;63.0;155;59.5;175;70.0;154;2.7;2.25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;11;126683;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126683&marketid=11
ALELIO.ST;ALELION ENERGY SYSTEMS;80.0;157;56.2;145;56.5;127;64.2;143;2.38;-0.77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALELIO.ST;11;123692;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123692&marketid=11
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;;;;N/A;N/A;N/A
ALFA.ST;ALFA LAVAL;66.7;112;50.0;113;52.8;147;56.5;124;1.51;0.7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST;11;18634;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=18634&marketid=11
ALIF-B.ST;ADDLIFE;40.0;86;55.0;87;56.8;148;50.6;107;2.11;0.59;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;N/A;N/A;N/A
ALIG.ST;ALIMAK GROUP;68.4;110;66.7;128;64.6;223;66.6;153;2.96;2.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;11;110204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110204&marketid=11
ALIRA-B.ST;ALIGERA;50.0;479;58.3;861;58.3;861;55.5;733;22.01;-1.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIRA-B.ST;N/A;N/A;N/A
ALIV-SDB.ST;AUTOLIV SDR;68.2;125;69.4;163;64.1;230;67.2;172;2.23;0.99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;N/A;N/A;N/A
ALLG-B.ST;ALLGON B;70.0;110;59.1;119;52.0;220;60.4;149;1.82;-1.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST;N/A;N/A;N/A
ALM-PREF.ST;ALM PRF;57.1;100;52.6;102;38.8;96;49.5;99;0.32;-0.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALM-PREF.ST;N/A;N/A;N/A
ALON-B.NGM;ARCHELON;66.7;117;66.7;128;62.1;183;65.2;142;2.35;1.72;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;N/A;N/A;N/A
AM1S.ST;AHLSTROM-MUNKSJO;34.6;94;39.1;107;51.3;202;41.7;134;2.66;0.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;N/A;N/A;N/A
AMAST.ST;AMSTEN HOLDING B;60.0;114;48.4;112;49.2;165;52.5;130;2.03;0.34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST.ST;N/A;N/A;N/A
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;47.6;92;48.7;93;46.4;106;47.6;97;0.48;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST;N/A;N/A;N/A
AMBEA.ST;AMBEA;52.6;104;58.1;108;58.1;108;56.3;106;0.73;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMBEA.ST;11;135504;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135504&marketid=11
ANNX.ST;ANNEXIN PHARMACEUTICALS;64.7;175;63.2;218;63.2;218;63.7;203;5.22;0.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;11;136293;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136293&marketid=11
ANOD-B.ST;ADDNODE GROUP;46.7;105;51.5;129;55.7;188;51.3;140;2.69;0.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;N/A;N/A;N/A
ANOT.ST;ANOTO GROUP;70.6;300;71.0;1089;71.2;4314;70.9;1901;8.16;1.27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;11;5110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5110&marketid=11
AOI.ST;AFRICA OIL;57.1;122;51.2;113;50.6;152;53.0;129;1.81;-0.31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;11;77948;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=77948&marketid=11
AQ.ST;AROS QUALITY;60.0;105;64.4;114;61.0;170;61.8;129;1.45;0.72;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;N/A;N/A;N/A
ARCM.ST;ARCAM;63.6;105;59.3;107;61.5;301;61.5;171;4.61;0.55;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST;N/A;N/A;N/A
ARCOMA.ST;ARCOMA;52.4;137;51.5;158;42.6;123;48.8;139;1.69;-0.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;11;103617;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103617&marketid=11
ARCT.ST;ARCTIC GOLD;52.9;225;48.6;268;52.2;654;51.2;382;5.0;-0.71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;N/A;N/A;N/A
ARISE.ST;ARISE AB;47.1;120;58.3;163;55.1;244;53.5;175;1.79;0.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST;11;74570;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74570&marketid=11
AROC.ST;AROCELL;66.7;95;52.3;109;52.0;136;57.0;113;0.5;-1.55;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;11;82338;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82338&marketid=11
ARP.ST;ARCTIC PAPER;66.7;134;60.6;150;61.2;209;62.8;164;1.89;0.65;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARP.ST;11;91264;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=91264&marketid=11
ASSA-B.ST;ASSA ABLOY B;45.8;99;44.7;107;55.1;124;48.5;110;0.98;0.76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;N/A;N/A;N/A
ATCO-A.ST;ATLAS COPCO A;69.2;108;63.6;120;54.9;161;62.6;129;1.72;1.15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;N/A;N/A;N/A
ATCO-B.ST;ATLAS COPCO B;64.7;104;58.5;123;55.7;156;59.6;127;1.68;1.24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;N/A;N/A;N/A
ATIC.ST;ACTIC GROUP;82.4;171;75.0;179;75.0;179;77.5;176;2.82;1.74;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;11;135947;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135947&marketid=11
ATORX.ST;ALLIGATOR BIOSCIENCE;54.5;122;52.4;115;52.3;115;53.1;117;0.54;-0.1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATORX.ST;11;129022;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129022&marketid=11
ATRLJ-B.ST;ATRIUM LJUNGBERG B;66.7;103;58.6;104;62.3;151;62.5;119;1.76;1.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATRLJ-B.ST;N/A;N/A;N/A
ATT.ST;ATTENDO;47.4;95;53.8;112;61.4;172;54.2;126;1.62;1.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;11;115956;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115956&marketid=11
AUR.ST;AURIANT MINING;50.0;90;44.4;48;55.6;443;50.0;193;7.04;-0.78;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST;11;76848;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=76848&marketid=11
AUTO.ST;VA AUTOMOTIVE;40.0;193;55.9;243;52.5;279;49.5;238;0.55;-0.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;11;104396;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104396&marketid=11
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;;;;N/A;N/A;N/A
AVEN.ST;AVENSIA;54.5;124;55.6;123;52.5;199;54.2;148;2.7;0.79;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST;11;5101;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5101&marketid=11
AVT-B.ST;AVTECH SWEDEN;75.0;116;67.6;218;51.3;172;64.6;168;1.69;-0.77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVT-B.ST;N/A;N/A;N/A
AXFO.ST;AXFOOD;52.2;113;40.4;105;50.6;123;47.7;113;0.66;0.43;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;11;4590;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4590&marketid=11
AXIC-A.ST;AXICHEM A;70.6;211;65.5;307;59.2;332;65.1;283;4.77;-1.55;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;N/A;N/A;N/A
AXIS.ST;AXIS;33.3;98;46.7;105;48.4;119;42.8;107;0.63;-0.37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIS.ST;11;5150;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5150&marketid=11
AZA.ST;AVANZA BANK HOLDING;72.2;138;77.5;159;78.2;321;76.0;206;2.76;1.49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;11;988;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=988&marketid=11
AZN.ST;ASTRAZENECA;66.7;108;62.5;150;64.6;236;64.6;164;2.62;1.61;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZN.ST;11;3524;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3524&marketid=11
B3IT.ST;B3IT MANAGEMENT;42.1;94;44.2;103;44.4;112;43.6;103;0.69;-0.3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST;11;123339;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123339&marketid=11
BACTI-B.ST;BACTIGUARD HOLD;50.0;110;50.0;148;56.2;256;52.1;171;3.26;1.82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;N/A;N/A;N/A
BALD-B.ST;FASTIGHETS BALDER B;66.7;114;60.0;123;56.2;153;61.0;130;1.11;0.59;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-B.ST;N/A;N/A;N/A
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;;;;;;;;;;;;N/A;N/A;N/A
BAYN.ST;BAYN EUROPE;60.0;146;51.4;326;56.7;816;56.0;429;4.75;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST;11;103618;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103618&marketid=11
BEGR.ST;BE GROUP;58.8;118;57.1;192;56.9;379;57.6;229;4.6;2.74;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;11;37309;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11
BEIA-B.ST;BEIJER ALMA B;57.1;108;59.5;150;53.5;162;56.7;140;1.89;0.39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIA-B.ST;N/A;N/A;N/A
BEIJ-B.ST;BEIJER REF AB;55.6;127;65.6;146;63.2;172;61.5;148;2.15;1.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIJ-B.ST;N/A;N/A;N/A
BELE.ST;BEIJER ELECTRONICS GROUP;81.2;126;61.8;157;64.5;191;69.2;158;1.67;0.62;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BELE.ST;11;5081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5081&marketid=11
BERG-B.ST;BERGMAN & BEVING;76.5;134;63.9;180;65.8;274;68.7;196;2.22;1.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;N/A;N/A;N/A
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;83.3;145;64.3;180;63.3;333;70.3;219;2.71;1.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;11;101207;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101207&marketid=11
BETS-B.ST;BETSSON B;63.2;118;66.7;147;65.1;198;65.0;154;1.68;0.82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BETS-B.ST;N/A;N/A;N/A
BILI-A.ST;BILIA A;50.0;110;47.4;125;51.2;160;49.5;131;1.01;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILI-A.ST;N/A;N/A;N/A
BILL.ST;BILLERUD KORSNAS;33.3;88;43.2;91;59.5;120;45.3;99;0.85;0.41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILL.ST;N/A;N/A;N/A
BIM.ST;BIMOBJECT;57.9;139;64.1;229;68.1;1681;63.4;683;9.42;4.43;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;11;99204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11
BINV.ST;BIOINVENT INTERNATIONAL;53.3;113;60.7;180;64.4;378;59.5;223;3.84;2.58;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;11;13348;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13348&marketid=11
BIOG-B.ST;BIOGAIA B;52.6;131;55.6;168;61.2;248;56.5;182;2.95;1.37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;N/A;N/A;N/A
BIOS.ST;BIOSERVO TECHNOLOGIES;45.8;90;50.0;117;50.0;117;48.6;108;2.47;-0.57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOS.ST;11;138312;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138312&marketid=11
BIOT.ST;BIOTAGE;57.1;158;66.7;275;63.0;464;62.3;299;4.74;2.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;11;5209;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11
BIOVIC-B.ST;BIOVICA INTERNATIONAL;73.3;109;76.2;163;76.2;163;75.2;145;4.71;1.28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOVIC-B.ST;N/A;N/A;N/A
BMAX.ST;BYGGMAX GROUP;42.1;101;51.4;119;53.3;136;48.9;118;1.11;-0.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST;11;75712;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75712&marketid=11
BOL.ST;BOLIDEN;78.6;125;73.7;124;62.2;209;71.5;152;2.32;0.68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;11;15285;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=15285&marketid=11
BONAV-A.ST;BONAVA A;76.5;114;61.0;121;58.7;149;65.4;128;1.43;0.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST;N/A;N/A;N/A
BONAV-B.ST;BONAVA B;61.9;100;53.7;110;57.1;140;57.6;116;1.25;0.72;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST;N/A;N/A;N/A
BONG.ST;BONG;46.7;107;42.4;125;43.3;151;44.1;127;1.44;-0.61;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST;11;892;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=892&marketid=11
BOOZT.ST;BOOZT;50.0;134;53.3;134;53.3;134;52.2;134;2.49;0.67;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOOZT.ST;11;138479;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138479&marketid=11
BORG.ST;BJORN BORG;57.1;125;60.0;139;54.5;224;57.2;162;2.02;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BORG.ST;11;40286;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40286&marketid=11
BOUL.ST;BOULE DIAGNOSTICS;75.0;124;72.7;210;75.0;1327;74.2;553;7.55;2.91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;11;82889;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82889&marketid=11
BRAV.ST;BRAVIDA HOLDING;73.7;115;62.2;113;49.4;106;61.8;111;0.71;-0.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRAV.ST;11;113960;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113960&marketid=11
BRE2.ST;BREDBAND2 I SKANDINAVIEN;47.1;117;40.7;114;43.9;151;43.9;127;2.26;0.81;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST;11;34627;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34627&marketid=11
BRG-B.ST;BERGS TIMBER B;41.2;95;51.4;111;46.7;113;46.4;106;0.92;0.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;N/A;N/A;N/A
BRIG.ST;BRIGHTER AB;66.7;238;65.7;408;64.6;1214;65.7;620;9.11;4.61;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;11;86375;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;60.0;212;59.1;354;59.1;354;59.4;306;17.14;0.77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST;N/A;N/A;N/A
BRIN-B.ST;BRINOVA FASTIGHETER;33.3;91;40.0;95;44.4;104;39.2;96;0.66;-0.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIN-B.ST;N/A;N/A;N/A
BRIOX.NGM;BRIOX;35.7;96;46.7;149;36.4;102;39.6;115;0.74;-3.5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;N/A;N/A;N/A
