DATE;TIME;DAY;NAMESHORT_SB;SIGNAL;CONFIRMATION;PRICE_LAST;PRICE_LEVEL;LAST_LEVEL_DIFFERENCE
2018-03-14;12:11;Wednesday;CI-B.ST;BUY;UPRed;10.8500;10.7750;100.696
2018-03-14;12:27;Wednesday;CI-B.ST;BUY;UPYellow;10.9500;10.7750;101.624
2018-03-14;12:32;Wednesday;GOMX.ST;SELL;DOWNGreen;67.9000;69.1000;98.263
2018-03-14;15:24;Wednesday;PIEZO.ST;BUY;UPRed;42.6000;42.0000;101.429
2018-03-14;15:48;Wednesday;G5EN.ST;SELL;DOWNGreen;345.8000;346.2000;99.884
2018-03-14;15:55;Wednesday;G5EN.ST;SELL;DOWNRed;345.4000;346.2000;99.769
2018-03-14;16:23;Wednesday;G5EN.ST;SELL;DOWNYellow;344.6000;346.2000;99.538
2018-03-14;16:32;Wednesday;G5EN.ST;SELL;DOWNOrange;345.0000;346.2000;99.653
2018-03-14;19:45;Wednesday;G5EN.ST;SELL;SELL;344.6000;345.8000;99.653
2018-03-14;19:45;Wednesday;GOMX.ST;SELL;SELL;63.7000;69.0000;92.319
2018-03-15;09:07;Thursday;INVUO.ST;BUY;UPGreen;2.7200;2.6650;102.064
2018-03-15;09:07;Thursday;SES.ST;SELL;DOWNGreen;2.0500;2.1000;97.619
2018-03-15;09:31;Thursday;SES.ST;SELL;DOWNOrange;2.0800;2.1000;99.048
2018-03-15;09:57;Thursday;PIEZO.ST;BUY;UPGreen;42.9000;42.0000;102.143
2018-03-15;10:08;Thursday;SERT.ST;BUY;UPGreen;2.2300;2.2100;100.905
2018-03-15;10:08;Thursday;SES.ST;SELL;DOWNRed;2.0900;2.1000;99.524
2018-03-15;11:29;Thursday;CI-B.ST;BUY;UPGreen;11.1000;10.7750;103.016
2018-03-15;11:48;Thursday;BRIG.ST;SELL;DOWNGreen;8.3600;8.3900;99.642
2018-03-15;12:18;Thursday;SES.ST;SELL;DOWNYellow;2.0500;2.1000;97.619
2018-03-15;12:35;Thursday;CI-B.ST;BUY;UPYellow;11.0000;10.7750;102.088
2018-03-15;12:39;Thursday;BRIG.ST;SELL;DOWNRed;8.3500;8.3900;99.523
2018-03-15;12:58;Thursday;BRIG.ST;SELL;DOWNYellow;8.2800;8.3900;98.689
2018-03-15;13:55;Thursday;CI-B.ST;BUY;UPRed;11.0000;10.7750;102.088
2018-03-15;14:42;Thursday;BRIG.ST;SELL;DOWNOrange;8.3000;8.3900;98.927
2018-03-15;16:45;Thursday;EOID.NGM;BUY;UPGreen;11.8000;11.6800;101.027
2018-03-15;16:52;Thursday;INVUO.ST;BUY;UPOrange;2.7000;2.6650;101.313
2018-03-15;17:25;Thursday;EOID.NGM;BUY;UPRed;11.7800;11.6800;100.856
2018-03-15;19:45;Thursday;INVUO.ST;BUY;BUY;2.9800;2.6700;111.61
2018-03-15;19:45;Thursday;SES.ST;SELL;SELL;1.9850;2.0950;94.749
2018-03-16;09:05;Friday;CI-B.ST;BUY;UPGreen;11.0000;10.7750;102.088
2018-03-16;10:11;Friday;EOID.NGM;BUY;UPOrange;11.7000;11.6800;100.171
2018-03-16;10:56;Friday;CI-B.ST;BUY;UPRed;11.3500;10.7750;105.336
2018-03-16;11:01;Friday;PIEZO.ST;BUY;UPGreen;42.7000;42.0000;101.667
2018-03-16;11:08;Friday;CI-B.ST;BUY;UPYellow;11.4000;10.7750;105.8
2018-03-16;11:15;Friday;BRIG.ST;SELL;DOWNGreen;8.3500;8.3900;99.523
2018-03-16;11:31;Friday;BRIG.ST;SELL;DOWNYellow;8.3700;8.3900;99.762
2018-03-16;14:41;Friday;PIEZO.ST;BUY;UPRed;42.4000;42.0000;100.952
2018-03-16;16:51;Friday;PIEZO.ST;BUY;UPYellow;42.5000;42.0000;101.19
2018-03-16;19:45;Friday;CI-B.ST;BUY;BUY;11.6000;10.8500;106.912
2018-03-16;19:45;Friday;EOID.NGM;BUY;BUY;11.7600;11.7000;100.513
2018-03-16;19:45;Friday;PIEZO.ST;BUY;BUY;42.5000;42.2000;100.711
2018-03-21;10:09;Wednesday;CE.ST;BUY;UPYellow;0.7590;0.7500;101.2
2018-03-21;10:09;Wednesday;ENRO.ST;SELL;DOWNGreen;0.0592;0.0601;98.502
2018-03-21;10:09;Wednesday;SALT-B.ST;BUY;UPGreen;19.3200;18.5600;104.095
2018-03-27;14:22;Tuesday;EOID.NGM;BUY;UPRed;11.6000;11.5600;100.346
2018-03-27;14:22;Tuesday;ONCO.ST;BUY;UPGreen;78.7000;78.3000;100.511
2018-04-05;15:48;Thursday;IBT-B.ST;SELL;DOWNGreen;113.0000;114.0000;99.123
2018-04-05;15:48;Thursday;NXTMS.ST;SELL;DOWNRed;1.9990;2.0220;98.863
2018-04-05;15:57;Thursday;ONCO.ST;SELL;DOWNOrange;76.5000;76.8000;99.609
2018-04-05;16:36;Thursday;G5EN.ST;BUY;UPRed;328.8000;310.0000;106.065
2018-04-05;16:36;Thursday;HEMC.ST;SELL;DOWNGreen;8.6100;8.8100;97.73
2018-04-05;16:36;Thursday;NXTMS.ST;SELL;DOWNOrange;1.9830;2.0220;98.071
2018-04-05;16:36;Thursday;ONCO.ST;SELL;DOWNGreen;76.2000;76.8000;99.219
2018-04-17;13:08;Tuesday;SAVOS.ST;SELL;DOWNYellow;0.6010;0.6175;97.328
2018-04-17;15:06;Tuesday;DIVI-B.NGM;BUY;UPRed;0.3280;0.3470;94.524
2018-04-17;15:17;Tuesday;DIVI-B.NGM;SELL;DOWNRed;0.3280;0.3470;94.524
2018-04-18;13:50;Wednesday;DIVI-B.NGM;BUY;UPRed;0.3280;0.3470;94.524
