NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
BRIG.ST;BRIGHTER AB;65.0;227;64.7;390;64.1;1159;64.6;592;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;11;86375;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86375&marketid=11
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;60.0;212;59.1;354;59.1;354;59.4;306;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST;N/A;N/A;N/A
BRIN-B.ST;BRINOVA FASTIGHETER;37.5;93;37.5;94;42.3;102;39.1;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIN-B.ST;N/A;N/A;N/A
BRIOX.NGM;BRIOX;35.7;96;45.2;128;37.3;107;39.4;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;N/A;N/A;N/A
BTS-B.ST;BTS GROUP B;70.6;104;54.3;95;47.8;102;57.6;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST;N/A;N/A;N/A
BUFAB.ST;BUFAB;72.7;123;64.3;169;63.7;307;66.9;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;11;99667;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99667&marketid=11
BULTEN.ST;BULTEN;50.0;107;69.4;151;59.2;192;59.5;150;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST;11;82239;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82239&marketid=11
BURE.ST;BURE EQUITY;46.2;96;57.6;131;54.7;198;52.8;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST;11;800;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=800&marketid=11
BUSER.ST;BAMBUSER;70.0;101;70.8;106;70.8;106;70.5;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUSER.ST;11;136907;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136907&marketid=11
BWL.ST;BRINGWELL;;;;;;;;;;N/A;N/A;N/A
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;52.6;126;51.1;119;49.0;118;50.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BYGGP.ST;11;129518;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129518&marketid=11
CAMX.ST;CAMURUS;82.4;110;81.2;147;73.8;352;79.1;203;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;11;115961;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115961&marketid=11
CANTA.ST;CANTARGIA;64.3;158;70.4;240;62.5;276;65.7;224;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;11;107644;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107644&marketid=11
