NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;VALUE_PERCENT_INDEX
HIFA-B.ST;HIFA B;50;105;64.1;124;61.8;137;58.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIFA-B.ST;7.1492
AERO.ST;SVENSKA AEROGEL HOLDING;54.2;145;52.4;120;54.5;134;53.7;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST;7.1421
MIC-SDB.ST;MILLICOM INTERNATIONAL CELLULAR SDR;38.1;94;55.6;117;60.2;207;51.3;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIC-SDB.ST;7.1307
ENG.ST;INTERNATIONELLA ENGELSKA SKOLAN I SV;60;130;48.1;134;51.6;140;53.2;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENG.ST;7.1288
TEL2-B.ST;TELE2 B;66.7;106;57.4;117;57;131;60.4;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEL2-B.ST;7.1272
VICP.ST;VICTORIA PARK;42.1;100;48.6;120;52.2;228;47.6;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP.ST;7.0924
SECARE.ST;SWEDENCARE;50;125;61.3;138;54;123;55.1;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECARE.ST;7.0528
SHOT.ST;SCANDIC HOTELS GROUP;52.6;115;51.6;123;47.8;177;50.7;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHOT.ST;6.9966
DDM.ST;DDM HOLDING;52.6;110;51.4;145;51.3;152;51.8;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST;6.993
HLDX.ST;HALDEX;54.2;114;48.8;112;53.8;173;52.3;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HLDX.ST;6.9559
NTEK-B.ST;NOVOTEK B;62.5;114;55.6;149;42.1;127;53.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NTEK-B.ST;6.942
SOF-B.ST;SOFTRONIC B;50;115;50;162;40.6;169;46.9;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;6.9412
XACT-BULL.ST;XACT BULL ETF;61.5;99;54.8;110;57.3;148;57.9;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL.ST;6.8901
GRNG.ST;GRANGES;58.8;101;61.3;122;52.1;138;57.4;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GRNG.ST;6.888
NTGRP.NGM;NET TRADING GROUP NTG;50;147;47.1;142;47.1;142;48.1;143;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NTGRP.NGM;6.8783
XINT.ST;XINTELA;53.3;103;48.1;109;49.1;200;50.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XINT.ST;6.8774
BONAV-B.ST;BONAVA B;65.2;103;53.7;110;57.1;140;58.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST;6.8679
XMEM.ST;DB X-TRACKERS MSCI EM ETF;56.5;114;61.2;113;61.3;118;59.7;115;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMEM.ST;6.8655
AOI.ST;AFRICA OIL;57.1;121;52.4;113;51.2;151;53.6;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;6.8608
BRAV.ST;BRAVIDA HOLDING;73.7;115;62.2;113;49.4;106;61.8;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRAV.ST;6.8598
NP3.ST;NP3 FASTIGHETER;46.7;110;61.3;120;54;153;54;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NP3.ST;6.858
XACT-OMXSB-UTD.ST;XACT OMXSB Utd ETF;60;105;51.7;106;62.7;145;58.1;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-OMXSB-UTD.ST;6.8558
AGORA-PREF.ST;AGORA PREF PRF;77.8;106;58.8;105;58.8;105;65.1;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGORA-PREF.ST;6.8355
QLRO.ST;QLIRO GROUP;36.8;95;48.7;118;54.8;225;46.8;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;6.8328
ICA.ST;ICA GRUPPEN;62.5;96;66.7;107;60.5;122;63.2;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICA.ST;6.8256
ODD.ST;ODD MOLLY INTERNATIONAL;50;99;55.6;129;52.9;159;52.8;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ODD.ST;6.8112
BILI-A.ST;BILIA A;52.4;111;48.6;126;51.9;161;51;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILI-A.ST;6.732
AMBEA.ST;AMBEA;60;106;63.3;110;63.3;110;62.2;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMBEA.ST;6.7176
PFE.ST;PFIZER;42.9;99;55.6;101;65.2;169;54.6;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PFE.ST;6.7158
ARCOMA.ST;ARCOMA;52.4;137;51.5;158;41.8;120;48.6;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;6.7068
INSTAL.ST;INSTALCO INTRESSENTER;53.3;125;52.6;128;52.6;128;52.8;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INSTAL.ST;6.7056
XACT-BEAR-2.ST;XACT BEAR2 ETF;46.7;120;50;126;57.5;145;51.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BEAR-2.ST;6.682
NIL-B.ST;NILORNGRUPPEN;60;92;55.8;91;57;167;57.6;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NIL-B.ST;6.6816
STRAX.ST;STRAX;56.2;101;57.6;116;52.9;143;55.6;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STRAX.ST;6.672
SONE.ST;SONETEL;50;98;61.1;125;61.1;125;57.4;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SONE.ST;6.6584
ELUX-B.ST;ELECTROLUX B;47.4;102;54.5;118;63;143;55;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-B.ST;6.655
AMAST.ST;AMSTEN HOLDING B;57.1;115;46.7;112;48.4;168;50.7;131;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST.ST;6.6417
ATT.ST;ATTENDO;45;99;51.3;112;60.2;172;52.2;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;6.6294
SVOL-A.ST;SVOLDER A;50;100;50;116;52.8;176;50.9;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVOL-A.ST;6.617
43464.ST;STOCKWIK FORVALTNING;53.8;237;47.6;174;32.7;33;44.7;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;6.6156
KOPY.ST;KOPY GOLDFIELDS;50;92;44.4;97;51.4;220;48.6;136;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOPY.ST;6.6096
STEF-B.ST;STENDORREN FASTIGHETER;58.8;100;54.8;98;57.1;151;56.9;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STEF-B.ST;6.6004
HEIM-PREF.ST;HEIMSDATEN PRF;60;103;58.3;105;57.4;130;58.6;112;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEIM-PREF.ST;6.5632
OLDM.ST;OLD MUTUAL;100;100;53.3;93;46.2;101;66.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OLDM.ST;6.517
HUM.ST;HUMANA;47.6;105;61.5;129;53.6;126;54.2;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUM.ST;6.504
ALFA.ST;ALFA LAVAL;62.5;109;46.9;111;51.4;144;53.6;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST;6.4856
SEB-A.ST;SE BANKEN A;60;104;54.5;97;60.5;133;58.3;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-A.ST;6.4713
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;55.6;127;52.2;121;50;119;52.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BYGGP.ST;6.4172
MPI.ST;MEDICAL PROGNOSIS INSTITUTE;52.4;124;48.8;110;52.7;142;51.3;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MPI.ST;6.4125
OP-PREF.ST;OSCAR PROPERTIES PRF;53.8;144;42.4;148;37.3;141;44.5;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OP-PREF.ST;6.408
FIL.ST;FILO MINING;50;95;54.2;129;52.9;144;52.4;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST;6.3928
SEMC.ST;SEMCON;41.2;115;45.7;124;45.6;194;44.2;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEMC.ST;6.3648
HUSQ-A.ST;HUSQVARNA A;42.9;108;46.3;121;52;177;47.1;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUSQ-A.ST;6.3585
MSON-A.ST;MIDSONA A;100;101;29.4;94;42.9;137;57.4;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-A.ST;6.314
XACTHDIV.ST;XACTHDIV ETF;68.4;102;58.6;102;58.6;102;61.9;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACTHDIV.ST;6.3138
CAT-B.ST;CATELLA B;48;100;53.5;121;53.2;146;51.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;6.2952
DMYD-B.ST;DIAMYD MEDICAL B;60;114;48.1;95;44.8;160;51;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST;6.273
SAGA-B.ST;SAGAX B;56.2;95;52.8;102;52.9;152;54;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-B.ST;6.264
FPIP.ST;FORMPIPE;50;99;50;122;46.8;165;48.9;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST;6.2592
