NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_24_PERCENT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
AAP-B.ST;ARC AROMA;46.8;61.1;142;62.5;311;57.6;1091;60.4;514;50.0;6.18;0.64;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;11;93180;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11
ABB.ST;ABB LTD N;198.45;62.5;111;62.5;137;58.6;186;61.2;144;61.8;1.85;0.68;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;11;3966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11
ABIGR.NGM;ABELCO INVESTMENT GROUP;0.135;75.0;164;75.0;264;75.0;264;75.0;230;71.4;9.16;3.22;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;N/A;N/A;N/A
ACAD.ST;ACADEMEDIA;57.3;38.9;102;57.1;143;62.0;190;52.7;145;62.5;2.4;0.46;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;11;123363;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11
ACAN-B.ST;ACANDO;29.4;62.5;104;68.4;139;64.1;258;65.0;167;67.7;3.32;2.36;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;11;981;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11
ACARIX.ST;ACARIX;8.4;53.8;109;51.5;88;51.5;88;52.3;95;31.2;-0.15;-2.15;16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;11;130710;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130710&marketid=11
ACM.ST;A CITY MEDIA;126.0;62.5;141;52.9;155;50.0;350;55.1;215;51.6;4.1;0.12;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;11;116111;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116111&marketid=11
ACTI.ST;ACTIVE BIOTECH;3.705;68.8;326;80.0;460;72.1;1395;73.6;727;76.7;10.52;4.16;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;11;877;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11
ADDERA.ST;ADDERACARE;10.9;73.7;127;74.2;157;72.7;160;73.5;148;68.8;2.15;1.24;16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;11;129533;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11
ADDT-B.ST;ADDTECH B;179.4;68.4;118;65.8;144;64.8;256;66.3;172;68.6;2.71;1.92;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;11;14336;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14336&marketid=11
ADDV-B.ST;ADDVISE GROUP;1.4;38.9;82;35.7;83;47.8;82;40.8;82;40.9;0.88;-1.16;21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST;11;113184;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113184&marketid=11
ADVE.ST;ADVENICA;13.6;55.6;125;55.3;155;58.6;248;56.5;176;52.9;2.94;0.52;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;11;102777;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102777&marketid=11
AERO.ST;SVENSKA AEROGEL HOLDING;5.44;58.3;163;53.5;127;55.6;141;55.8;143;45.5;3.07;-0.4;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST;11;130818;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130818&marketid=11
AF-B.ST;AF B;190.0;70.8;111;56.8;109;57.7;151;61.8;123;57.9;1.62;0.28;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST;N/A;N/A;N/A
AGES-B.ST;AGES INDUSTRI;88.0;33.3;99;73.7;121;60.0;144;55.7;121;68.2;2.06;1.76;20;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;11;100816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100816&marketid=11
AGORA-PREF.ST;AGORA PREF PRF;256.0;85.7;108;58.8;105;58.8;105;67.8;106;42.9;0.92;0.33;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGORA-PREF.ST;11;110782;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110782&marketid=11
AGRO.ST;AGROMINO;18.8;46.7;97;48.4;121;52.7;232;49.3;150;51.4;2.14;0.5;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;11;40543;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40543&marketid=11
AHSL.ST;AHLSELL;52.8;52.2;93;56.8;96;58.8;102;55.9;97;64.0;0.56;0.52;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;11;128388;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128388&marketid=11
