NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;PRICE_CHANGE_PERCENT_AVERAGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
BIM.ST;BIMOBJECT;36.1;50.0;131;62.5;221;67.6;1548;60.0;633;34;69,7;9,17;3,5;5,08;7,84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;11;99204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11
KARO.ST;KARO PHARMA;32.8;71.4;153;73.5;203;70.3;506;71.7;287;37;69,4;4,19;1,92;20,54;5,06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARO.ST;11;3927;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3927&marketid=11
KIND-SDB.ST;KINDRED GROUP SDR;125.15;60.0;127;60.0;146;63.5;261;61.2;178;37;69,4;2,59;1,52;4,14;3,32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KIND-SDB.ST;11;36950;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36950&marketid=11
RESURS.ST;RESURS HOLDING;57.95;44.4;95;62.5;120;70.4;180;59.1;131;27;69,2;2,37;1,48;8,31;2,55;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RESURS.ST;11;121360;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=121360&marketid=11
NXTMS.ST;NEXSTIM;2.046;50.0;100;60.0;163;67.3;1825;59.1;696;27;69,2;7,61;5,31;245,07;11,35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;11;103571;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103571&marketid=11
HIQ.ST;HIQ INTERNATIONAL;75.7;62.5;117;67.5;147;65.8;246;65.3;170;39;69,2;2,46;1,67;0;2,62;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIQ.ST;11;3540;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3540&marketid=11
NOBI.ST;NOBIA;73.25;77.3;130;65.9;146;69.8;222;71.0;166;43;69;1,77;1,21;29,64;2,82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBI.ST;11;19095;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=19095&marketid=11
BINV.ST;BIOINVENT INTERNATIONAL;1.902;56.2;114;60.7;160;65.0;381;60.6;218;30;69;3,76;2,42;54,99;5,52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;11;13348;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13348&marketid=11
HEXA-B.ST;HEXAGON B;489.6;65.0;117;60.5;114;57.0;146;60.8;125;43;69;1,54;0,9;0;1,98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEXA-B.ST;11;819;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=819&marketid=11
ADDERA.ST;ADDERACARE;10.4;73.7;127;74.2;157;72.7;160;73.5;148;16;68,8;2,15;1,24;56,37;5,06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;11;129533;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11
BIOVIC-B.ST;BIOVICA INTERNATIONAL;10.6;66.7;109;71.4;163;71.4;163;69.8;145;10;60;4,71;1,28;37,5;6,07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOVIC-B.ST;11;135531;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135531&marketid=11
RAY-B.ST;RAYSEARCH LABORATORIES B;137.2;88.9;169;73.3;202;66.7;503;76.3;291;33;68,8;5,52;3,27;79,55;5,71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;11;1063;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11
PFE.ST;PFIZER;303.0;47.1;99;56.8;104;65.7;168;56.5;123;33;68,8;1,95;0,94;4,47;2,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PFE.ST;17;PFE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=PFE&marketid=17
TETY.ST;TETHYS OIL;66.0;60.0;127;64.7;186;63.6;341;62.8;218;33;68,8;3,52;1,71;17,34;4,25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;11;24588;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=24588&marketid=11
BIOG-B.ST;BIOGAIA B;399.5;52.6;131;54.3;161;60.0;242;55.6;178;32;68,8;2,96;1,18;3;3,15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;11;959;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=959&marketid=11
TEL2-A.ST;TELE2 A;98.0;61.1;109;66.7;118;69.4;194;65.7;140;36;68,6;2,3;1,47;7,2;2,87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEL2-A.ST;11;1026;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1026&marketid=11
BOOZT.ST;BOOZT;75.4;50.0;129;56.2;133;56.2;133;54.1;131;8;42,9;2,09;0,33;16,78;4,88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOOZT.ST;11;138479;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=138479&marketid=11
ADDT-B.ST;ADDTECH B;180.0;68.4;118;65.8;144;64.8;256;66.3;172;35;68,6;2,71;1,92;13,49;3,08;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;11;14336;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14336&marketid=11
GOMX.ST;GOMSPACE GROUP;64.3;81.2;152;78.1;403;78.3;803;79.2;452;23;68,2;10,9;2,64;83,88;9,53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST;11;123579;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123579&marketid=11
AGES-B.ST;AGES INDUSTRI;88.0;33.3;99;73.7;121;60.0;144;55.7;121;20;68,2;2,06;1,76;57,21;3,98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;11;100816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100816&marketid=11
MEDR-B.ST;MEDIRATT B;6.6;60.0;101;65.4;247;71.2;2393;65.5;913;26;68;17,34;10,39;125,27;16,89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;11;81251;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81251&marketid=11
VERI.ST;VERISEC;102.0;77.3;174;61.4;245;65.4;332;68.0;250;25;68;3,53;1,34;56,19;4,75;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VERI.ST;11;104860;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104860&marketid=11
EAST.ST;EASTNINE;89.8;53.3;120;51.9;136;54.4;193;53.2;149;28;67,9;2,97;1,87;2,88;2,87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST;11;49615;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49615&marketid=11
ELUX-A.ST;ELECTROLUX A;279.0;76.9;110;75.0;132;73.4;178;75.1;140;31;67,7;2,22;1,26;7,11;2,56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-A.ST;11;80;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=80&marketid=11
SECU-B.ST;SECURITAS B;143.25;80.0;114;72.4;129;65.1;143;72.5;128;31;67,7;1,38;1,32;10,11;2,13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECU-B.ST;11;401;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=401&marketid=11
BEGR.ST;BE GROUP;50.7;58.8;118;57.1;192;58.7;385;58.2;231;31;67,7;4,79;2,8;34,92;4,96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;11;37309;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11
SHB-B.ST;HANDELSBANKEN B;122.4;63.6;118;71.8;128;68.4;165;67.9;137;38;67,6;1,39;1,09;10,77;1,86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-B.ST;N/A;N/A;N/A
RECI-B.ST;RECIPHARM AB;94.2;65.0;119;57.9;144;62.9;235;61.9;166;35;67,6;1,66;1,02;53,1;3,3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RECI-B.ST;11;100208;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100208&marketid=11
KINV-B.ST;KINNEVIK B;305.9;47.1;106;57.1;128;60.9;185;55.0;139;34;67,6;2,16;1,22;0;2,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-B.ST;11;999;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=999&marketid=11
SAGA-PREF.ST;SAGAX PRF;35.2;52.9;95;64.5;104;58.0;110;58.5;103;34;67,6;0,56;0,37;5,23;1,11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-PREF.ST;11;43046;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43046&marketid=11
MTG-B.ST;MODERN TIMES GROUP MTG B;349.2;63.6;126;64.3;136;64.6;185;64.2;149;41;67,5;1,68;0,85;8,62;2,14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTG-B.ST;11;3599;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3599&marketid=11
BWL.ST;BRINGWELL;;;;;;;;;;;;;;;;;N/A;N/A;N/A
BOL.ST;BOLIDEN;296.4;73.3;125;71.1;121;61.4;209;68.6;151;41;67,5;2,32;0,68;1,04;2,82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;11;15285;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=15285&marketid=11
STE-R.ST;STORA ENSO R;155.2;57.9;110;55.6;135;58.0;191;57.2;145;40;67,5;2,36;1,54;0;2,5;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-R.ST;11;2170;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2170&marketid=11
CELLNK-B.ST;CELLINK;137.5;65.2;168;68.3;223;69.8;284;67.8;225;21;66,7;5,21;1,53;7,22;5,39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST;11;128490;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128490&marketid=11
PNDX-B.ST;PANDOX;153.0;78.6;127;78.1;136;67.6;156;74.8;139;34;66,7;1,62;0,75;4,95;2,73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PNDX-B.ST;11;110533;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110533&marketid=11
INWI.ST;INWIDO;76.45;78.6;117;75.0;153;67.5;220;73.7;163;40;66,7;1,47;0,68;64,12;3,11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INWI.ST;11;102786;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102786&marketid=11
MOB.ST;MOBERG PHARMA;24.7;90.9;155;69.4;142;66.7;312;75.7;203;32;66,7;2,21;0,88;215,73;5,4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MOB.ST;11;79252;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79252&marketid=11
ERIC-A.ST;ERICSSON A;54.4;61.1;112;70.6;130;66.2;139;66.0;127;34;66,7;1,5;1,21;25,46;3,64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST;11;100;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100&marketid=11
DOM.ST;DOMETIC GROUP;83.25;56.5;111;67.4;138;65.8;178;63.2;142;36;66,7;2,03;1,51;7,78;2,95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOM.ST;11;115619;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115619&marketid=11
ELUX-B.ST;ELECTROLUX B;272.1;52.6;102;58.1;112;64.4;143;58.4;119;36;66,7;1,29;1,41;15,04;2,06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-B.ST;11;81;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81&marketid=11
BIOT.ST;BIOTAGE;77.4;59.1;154;67.5;268;63.5;452;63.4;291;37;66,7;4,54;1,67;19,95;4,09;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;11;5209;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11
KLED.ST;KUNGSLEDEN;55.85;75.0;108;67.6;129;63.2;151;68.6;129;34;66,7;1,65;1,25;15,16;2,46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLED.ST;11;3546;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3546&marketid=11
HUFV-A.ST;HUFVUDSTADEN A;125.8;75.0;106;58.8;105;63.2;136;65.7;115;34;66,7;1,18;1,09;20,05;1,91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUFV-A.ST;11;820;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=820&marketid=11
ENEA.ST;ENEA;79.0;60.0;105;63.6;120;62.5;173;62.0;132;28;66,7;1,96;1,38;27,77;3,63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;11;1149;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1149&marketid=11
ATRLJ-B.ST;ATRIUM LJUNGBERG B;130.0;72.7;105;58.6;104;62.3;151;64.5;120;30;66,7;1,76;1,38;27,07;2,39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATRLJ-B.ST;11;1011;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1011&marketid=11
SF.ST;STILLFRONT GROUP;181.8;85.7;168;70.0;288;61.2;410;72.3;288;33;66,7;5,26;1,17;22,17;5,79;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SF.ST;11;116312;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116312&marketid=11
ALCA.ST;ALCADON GROUP;45.0;88.9;132;64.3;155;60.5;175;71.2;154;21;66,7;2,7;2,25;0,22;3,34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;11;126683;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126683&marketid=11
COOR.ST;COOR SERVICE MANAGEMENT;66.4;58.8;120;65.8;153;59.5;230;61.4;167;39;66,7;2,67;0,9;4,87;2,84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;11;110382;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110382&marketid=11
STEF-B.ST;STENDORREN FASTIGHETER;72.8;60.0;99;54.8;98;59.0;153;57.9;116;30;66,7;1,83;0,93;2,75;2,42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STEF-B.ST;11;80255;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=80255&marketid=11
CHRO.ST;CHROMOGENICS;0.8;83.3;171;88.9;211;88.9;211;87.0;197;9;75;2,98;1,01;406,22;10,94;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;11;135174;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135174&marketid=11
VEMF-SDB.ST;VOSTOK EMERGING FINANCE SDR;2.13;66.7;122;53.8;130;56.0;195;58.8;149;25;66,7;2,91;1,12;0;2,7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VEMF-SDB.ST;11;110742;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110742&marketid=11
SSAB-B.ST;SSAB B;39.2;80.0;130;79.4;185;69.9;352;76.4;222;41;65,9;3,68;1,94;3,36;4,12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;11;301;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=301&marketid=11
BETS-B.ST;BETSSON B;67.06;66.7;119;68.3;153;65.1;198;66.7;156;41;65,9;1,68;0,82;63,3;3,65;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BETS-B.ST;11;5121;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5121&marketid=11
ATT.ST;ATTENDO;80.0;50.0;96;55.3;113;61.9;173;55.7;127;42;65,9;1,61;1,03;29,54;2,21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;11;115956;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115956&marketid=11
NCC-A.ST;NCC A;164.5;75.0;114;68.2;145;61.9;168;68.4;142;42;65,9;1,16;0,5;55,4;2,12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NCC-A.ST;11;837;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=837&marketid=11
VOLV-B.ST;VOLVO B;152.25;52.9;108;60.5;125;59.0;201;57.5;144;41;65,9;2,2;0,47;10,7;2,57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-B.ST;N/A;N/A;N/A
SSAB-A.ST;SSAB A;48.21;52.6;123;61.5;160;64.9;360;59.7;214;38;65,8;4,1;2,5;2,74;4,78;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-A.ST;11;300;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=300&marketid=11
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;;;;;;;;;N/A;N/A;N/A
MRG.ST;MR GREEN;50.1;57.7;111;63.0;169;64.1;295;61.6;191;39;65,8;3,12;0,79;12,48;3,92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MRG.ST;11;94882;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=94882&marketid=11
KAMBI.ST;KAMBI GROUP;120.0;69.2;137;66.7;204;63.6;276;66.5;205;38;65,8;2,34;2,31;40,8;4,3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAMBI.ST;11;101199;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101199&marketid=11
LAGR-B.ST;LAGERCRANTZ GROUP B;79.3;65.0;127;71.1;175;62.8;227;66.3;176;39;65,8;2,02;1,63;20;3,26;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAGR-B.ST;11;14335;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14335&marketid=11
NMAN.ST;NEDERMAN HOLDING;248.0;50.0;108;63.9;130;60.3;191;58.1;143;39;65,8;1,97;0,62;8,06;2,9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NMAN.ST;11;40347;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40347&marketid=11
HIFA-B.ST;HIFA B;3.0;50.0;103;60.0;121;60.6;134;56.9;119;35;65,7;0,98;0,65;26,16;2,57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIFA-B.ST;11;5232;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5232&marketid=11
OEM-B.ST;OEM INTERNATIONAL B;174.0;71.4;105;64.7;133;58.3;170;64.8;136;36;65,7;2,05;0,9;23,14;2,92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OEM-B.ST;11;927;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=927&marketid=11
EOLU-B.ST;EOLUS VIND B;32.1;57.9;114;48.8;122;54.9;153;53.9;129;35;65,7;1,45;0,5;9,66;2,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOLU-B.ST;11;66174;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66174&marketid=11
ALFA.ST;ALFA LAVAL;195.8;63.2;111;48.6;113;53.5;151;55.1;125;35;65,7;1,63;0,78;7,12;2,32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST;11;18634;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=18634&marketid=11
PROB.ST;PROBI AB;420.8;66.7;153;69.4;203;68.2;985;68.1;447;33;65,6;7,54;5,49;42,89;7,38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;11;27701;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27701&marketid=11
INDU-A.ST;INDUSTRIVARDEN A;205.6;53.3;101;62.1;127;63.1;175;59.5;134;32;65,6;2,26;1,33;10,25;2,45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-A.ST;11;142;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=142&marketid=11
THULE.ST;THULE GROUP;183.4;73.3;104;62.1;120;60.0;150;65.1;124;32;65,6;1,91;1,04;7,26;2,55;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THULE.ST;11;104058;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104058&marketid=11
TRANS.ST;TRANSTEMA;27.95;71.4;180;70.0;314;66.7;1522;69.4;672;30;65,5;8,11;3,22;140,87;9,49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;11;109528;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=109528&marketid=11
CATE.ST;CATENA;160.4;68.4;105;63.6;122;59.3;134;63.8;120;29;65,5;1,52;0,86;4,44;2,14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST;N/A;N/A;N/A
CORE.ST;COREM PROPERTY GROUP;;;;;;;;;;;;;;;;;N/A;N/A;N/A
TEL2-B.ST;TELE2 B;98.94;65.0;110;58.7;120;57.4;138;60.4;122;47;65,2;1,11;1,31;7,73;2,07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEL2-B.ST;11;1027;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1027&marketid=11
FNMA-PREF.ST;FNMA PREF PRF;1265.0;33.3;96;36.8;106;44.7;166;38.3;122;23;65,2;2,7;1,79;1,2;2,7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FNMA-PREF.ST;11;98392;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98392&marketid=11
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;1104.0;70.6;141;69.2;174;58.6;317;66.1;210;43;65,1;3,27;1,34;3,09;2,97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST;11;101639;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101639&marketid=11
HPOL-B.ST;HEXPOL B;74.85;65.0;116;66.7;125;62.2;166;64.6;135;41;65;1,37;0,75;22,77;2,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HPOL-B.ST;11;55907;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=55907&marketid=11
NEWA-B.ST;NEW WAVE GROUP B;55.6;72.2;110;59.1;99;58.5;164;63.3;124;41;65;2,08;0,45;14,96;2,64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEWA-B.ST;11;920;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=920&marketid=11
SCA-B.ST;SVENSKA CELLULOSA B;86.96;70.6;132;62.9;142;54.3;144;62.6;139;40;65;1,54;0,8;9,5;2,07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-B.ST;11;323;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=323&marketid=11
LUC.ST;LUCARA DIAMOND;14.08;65.2;148;59.1;169;65.8;287;63.4;201;38;64,9;2,31;1,09;95,15;4,46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUC.ST;11;85525;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=85525&marketid=11
TIEN.ST;TIETO;290.0;82.4;119;60.5;119;65.8;151;69.6;129;38;64,9;1,29;0,74;0,62;1,94;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TIEN.ST;11;4025;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4025&marketid=11
XANO-B.ST;XANO INDUSTRI B;217.0;65.0;155;70.6;203;64.5;445;66.7;267;38;64,9;4,57;2,14;0;4,41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;11;1074;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1074&marketid=11
AAK.ST;AARHUSKARLSHAMN;731.0;54.5;118;58.1;128;59.2;156;57.3;134;38;64,9;1,34;0,35;0,07;1,96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;11;36273;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11
HOLM-B.ST;HOLMEN B;450.4;60.0;124;57.6;140;53.3;173;57.0;145;37;64,9;1,81;1;1,85;2,25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-B.ST;11;222;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=222&marketid=11
LEO.ST;LEOVEGAS;88.65;77.8;155;68.3;292;51.3;292;65.8;246;38;64,9;3,02;1,27;15,48;3,82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEO.ST;11;120184;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120184&marketid=11
NDX.ST;NORDAX GROUP;60.0;50.0;118;65.7;140;65.7;230;60.5;162;35;64,7;2,6;1,17;0;3,38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDX.ST;11;110381;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110381&marketid=11
COPP-B.ST;COPPERSTONE RESOURCE;1.113;57.1;146;61.8;474;65.6;2079;61.5;899;32;64,5;11,8;3,36;81,89;11,22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;11;38904;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11
