NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;PRICE_CHANGE_PERCENT_AVERAGE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
ACTI.ST;ACTIVE BIOTECH;3.91;68.8;326;80.0;460;72.1;1395;73.6;727;30;76,7;10,52;4,16;379,51;11,86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;11;877;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11
BEIJ-B.ST;BEIJER REF AB;328.0;55.6;127;65.6;146;63.2;172;61.5;148;34;75,8;2,15;1,36;4,69;2,41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIJ-B.ST;11;792;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=792&marketid=11
SAAB-B.ST;SAAB B;389.8;70.6;112;80.6;182;66.2;253;72.5;182;36;75,7;2,46;1,11;21,55;2,44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAAB-B.ST;11;1051;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1051&marketid=11
BOUL.ST;BOULE DIAGNOSTICS;276.0;83.3;128;73.5;212;75.3;1339;77.4;559;36;75;7,38;2,8;25;6,04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;11;82889;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82889&marketid=11
CAMX.ST;CAMURUS;112.0;81.2;113;81.2;156;74.2;373;78.9;214;33;75;4,22;2;29,06;4,72;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;11;115961;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115961&marketid=11
STAR-A.ST;STARBREEZE A;10.4;78.6;240;76.7;280;74.1;821;76.5;447;29;75;6,21;3,24;129,98;7,21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-A.ST;11;110197;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110197&marketid=11
AGORA-PREF.ST;AGORA PREF PRF;258.0;85.7;108;58.8;105;58.8;105;67.8;106;8;42,9;0,92;0,33;1,69;1,3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGORA-PREF.ST;11;110782;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110782&marketid=11
SANION.ST;SANIONA A/S;29.0;64.3;125;73.3;210;72.7;1079;70.1;471;33;75;6,36;3,59;79,9;7,52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST;11;100428;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100428&marketid=11
VOLV-A.ST;VOLVO A;152.5;69.2;106;65.7;125;67.1;210;67.3;147;36;75;2,71;0,99;9,23;2,78;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-A.ST;11;365;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=365&marketid=11
THQN-B.ST;THQ NORDIC;157.2;70.0;253;63.0;456;66.0;617;66.3;442;25;75;8,23;2,81;0;5,97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THQN-B.ST;11;128651;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128651&marketid=11
