NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
AIK-B.NGM;AIK FOTBALL B;2.2;27.8;98;44.1;101;41.3;126;37.7;108;31;36.7;4.18;2.78;-2.17;-1.42;6.86;3.14;-0.55;0.34;1.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;13;2X7;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2X7&marketid=13
AINO.ST;AINO HEALTH;4.62;53.8;141;48.5;220;45.9;191;49.4;184;18;35.3;7.1;3.34;-2.5;-1.9;5.74;4.3;-0.51;-0.39;4.82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST;11;130478;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130478&marketid=11
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;333.0;64.7;102;41.0;99;43.3;109;49.7;103;33;57.6;0.9;0.56;-0.6;-0.47;1.18;0.95;-0.45;-0.37;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;11;101200;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101200&marketid=11
ALCA.ST;ALCADON GROUP;42.8;75.0;125;60.7;153;59.1;173;64.9;150;22;61.9;3.27;2.13;-2.03;-2.05;5.72;4.51;1.21;1.97;1.01;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;11;126683;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126683&marketid=11
ALELIO.ST;ALELION ENERGY SYSTEMS;9.36;81.8;157;57.6;145;57.4;127;65.6;143;23;52.2;6.24;3.32;-2.93;-2.42;8.18;2.55;-0.63;2.07;1.72;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALELIO.ST;11;123692;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123692&marketid=11
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;;;;;;;;;;;;;;;;
ALFA.ST;ALFA LAVAL;193.1;66.7;106;50.0;112;54.2;150;57.0;122;36;65.7;2.3;1.61;-1.46;-0.92;3.27;2.28;0.38;0.85;1.08;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST;11;18634;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=18634&marketid=11
ALIF-B.ST;ADDLIFE;161.0;40.9;83;52.5;81;56.6;142;50.0;102;38;59.5;3.06;1.73;-1.94;-1.69;4.87;2.51;0.01;1.31;1.09;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;11;120190;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120190&marketid=11
ALIG.ST;ALIMAK GROUP;127.4;66.7;105;65.6;112;64.1;215;65.5;144;32;74.2;3.55;2.49;-2.41;-1.0;4.89;3.38;1.45;2.21;1.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;11;110204;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110204&marketid=11
ALIRA-B.ST;ALIGERA;;;;;;;;;;;;;;;;;;;;;;;;
ALIV-SDB.ST;AUTOLIV SDR;1211.0;70.0;121;69.4;163;63.2;227;67.5;170;38;59.5;2.69;1.66;-1.31;-1.29;4.56;3.13;0.54;1.38;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;11;47;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=47&marketid=11
ALLG-B.ST;ALLGON B;8.5;70.0;110;59.1;119;54.2;224;61.1;151;24;39.1;4.19;2.15;-1.92;-2.02;7.41;4.88;-0.12;0.93;1.65;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST;11;28738;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=28738&marketid=11
ALM-PREF.ST;ALM PRF;105.0;50.0;103;50.0;106;38.0;100;46.0;103;25;41.7;1.27;0.57;-0.71;-0.44;2.22;1.71;-0.34;-0.29;1.09;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALM-PREF.ST;11;88573;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=88573&marketid=11
ALON-B.NGM;ARCHELON;0.158;75.0;117;71.4;128;64.3;189;70.2;144;27;60.7;6.17;4.67;-5.91;-5.58;8.42;6.64;1.04;1.99;1.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;13;3PHD;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3PHD&marketid=13
AM1S.ST;AHLSTROM-MUNKSJO;167.6;35.7;94;39.6;106;50.0;195;41.8;131;39;50.0;3.09;1.61;-1.37;-1.23;6.3;4.87;1.02;1.67;1.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;11;104597;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104597&marketid=11
AMAST.ST;AMSTEN HOLDING B;3.55;62.5;118;50.0;116;50.0;169;54.2;134;31;50.0;2.88;1.58;-1.62;-1.23;5.63;4.74;0.96;1.21;1.13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST.ST;11;53228;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=53228&marketid=11
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;291.0;50.0;93;50.0;94;47.1;107;49.0;98;35;44.1;1.03;0.62;-0.51;-0.5;1.71;0.81;-0.72;-0.33;1.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST;11;101778;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101778&marketid=11
AMBEA.ST;AMBEA;59.9;55.0;100;59.4;104;59.4;104;57.9;102;16;40.0;2.69;1.4;-1.38;-1.39;2.84;1.61;-0.99;-0.49;1.53;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMBEA.ST;11;135504;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135504&marketid=11
ANNX.ST;ANNEXIN PHARMACEUTICALS;4.5;53.3;107;57.9;218;57.9;218;56.4;181;9;55.6;11.26;5.94;-6.01;-5.69;14.21;1.82;-2.31;4.43;1.92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;11;136293;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136293&marketid=11
ANOD-B.ST;ADDNODE GROUP;74.4;50.0;112;52.9;138;56.5;202;53.1;150;31;60.0;3.21;1.68;-1.28;-1.08;5.83;4.06;1.2;2.19;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;11;3887;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3887&marketid=11
ANOT.ST;ANOTO GROUP;4.38;62.5;290;68.8;1059;69.7;2763;67.0;1370;33;59.4;9.42;4.3;-2.76;-2.45;14.72;8.18;3.06;6.82;2.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;11;5110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5110&marketid=11
AOI.ST;AFRICA OIL;8.035;59.1;116;52.3;106;51.2;137;54.2;119;41;35.0;3.99;2.06;-1.61;-1.32;6.91;5.74;0.35;0.57;2.33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;11;77948;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=77948&marketid=11
AQ.ST;AROS QUALITY;166.4;55.6;97;61.4;112;60.3;168;59.1;125;39;60.5;2.74;1.7;-2.09;-1.32;3.59;1.9;-0.17;0.55;1.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;11;13236;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13236&marketid=11
ARCM.ST;ARCAM;;;;;;;;;;;;;;;;;;;;;;;;
ARCOMA.ST;ARCOMA;7.54;55.0;142;51.5;158;43.1;128;49.9;142;23;48.0;5.52;2.98;-3.86;-2.98;7.75;6.9;0.96;0.91;1.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;11;103617;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103617&marketid=11
ARCT.ST;ARCTIC GOLD;0.719;57.9;149;51.2;261;53.4;638;54.2;349;36;45.7;7.39;4.23;-4.62;-4.16;16.22;7.96;0.58;4.1;1.89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;11;67373;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=67373&marketid=11
ARISE.ST;ARISE AB;12.5;50.0;118;58.3;157;55.7;239;54.7;171;35;50.0;3.22;1.85;-1.31;-1.17;4.85;2.75;-0.01;0.97;1.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST;11;74570;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74570&marketid=11
AROC.ST;AROCELL;3.25;70.6;89;53.5;108;53.3;143;59.1;113;37;40.5;5.13;3.27;-3.82;-2.78;7.59;5.73;-0.13;0.0;2.79;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;17;AROC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=AROC&marketid=17
ARP.ST;ARCTIC PAPER;9.2;73.7;137;63.6;150;63.1;184;66.8;157;32;59.4;2.93;1.91;-1.78;-1.52;3.77;3.51;0.67;0.72;1.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARP.ST;11;91264;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=91264&marketid=11
ASSA-B.ST;ASSA ABLOY B;174.2;45.8;99;41.7;97;53.9;124;47.1;106;38;59.5;1.96;1.19;-1.61;-1.16;2.7;1.92;-0.13;0.15;1.05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;11;402;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=402&marketid=11
ATCO-A.ST;ATLAS COPCO A;348.8;71.4;112;64.7;125;57.1;172;64.4;136;35;73.5;2.31;1.5;-1.7;-1.17;3.35;2.29;0.57;1.21;1.03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;11;45;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=45&marketid=11
ATCO-B.ST;ATLAS COPCO B;311.1;66.7;110;62.5;130;56.6;165;61.9;135;38;70.3;2.16;1.41;-0.8;-0.64;2.96;2.19;0.55;1.04;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;11;46;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=46&marketid=11
ATIC.ST;ACTIC GROUP;39.4;83.3;155;76.9;182;76.9;182;79.0;173;13;75.0;3.59;2.45;-0.92;-0.73;4.37;3.14;1.37;2.25;1.1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;11;135947;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135947&marketid=11
ATORX.ST;ALLIGATOR BIOSCIENCE;24.85;61.9;123;53.5;115;53.3;115;56.2;117;22;42.9;2.56;2.03;-1.07;-0.92;2.85;2.14;-0.41;-0.19;1.34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATORX.ST;11;129022;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129022&marketid=11
ATRLJ-B.ST;ATRIUM LJUNGBERG B;123.6;80.0;104;60.7;107;62.9;155;67.9;122;31;66.7;2.4;1.43;-0.7;-0.51;3.16;2.25;0.53;1.07;1.24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATRLJ-B.ST;11;1011;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1011&marketid=11
ATT.ST;ATTENDO;79.05;50.0;96;55.3;113;61.0;152;55.4;120;41;65.0;2.07;1.5;-1.04;-0.95;2.5;1.74;-0.0;0.46;1.3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;11;115956;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115956&marketid=11
AUR.ST;AURIANT MINING;2.35;52.9;88;44.4;50;56.3;466;51.2;201;35;45.7;9.96;3.27;-5.59;-2.74;22.53;3.38;-0.74;6.46;7.24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST;11;76848;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=76848&marketid=11
AUTO.ST;VA AUTOMOTIVE;0.299;47.1;134;57.1;168;54.1;194;52.8;165;30;37.9;6.63;2.96;-4.86;-2.64;5.39;2.35;-1.55;-1.78;16.88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;11;104396;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104396&marketid=11
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;;;;;;;;;;;;;;;;
AVEN.ST;AVENSIA;8.2;33.3;103;51.9;123;50.8;199;45.3;141;30;56.7;3.64;2.06;-1.19;-1.3;5.29;2.49;0.05;1.68;1.36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST;11;5101;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5101&marketid=11
AVT-B.ST;AVTECH SWEDEN;3.59;76.5;136;65.7;247;51.9;202;64.7;195;38;47.4;4.68;2.4;-3.13;-2.4;7.63;2.39;-0.93;1.17;2.18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVT-B.ST;11;86868;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86868&marketid=11
AXFO.ST;AXFOOD;146.0;54.5;112;39.6;102;50.0;119;48.0;111;42;53.7;1.52;1.07;-1.06;-0.96;1.93;1.23;-0.58;-0.25;1.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;11;4590;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4590&marketid=11
AXIC-A.ST;AXICHEM A;14.9;70.6;174;66.7;321;57.1;331;64.8;275;23;47.8;8.66;2.98;-4.08;-2.64;16.23;5.91;0.65;4.83;1.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;11;80256;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=80256&marketid=11
AXIS.ST;AXIS;330.0;33.3;98;44.8;105;48.4;120;42.2;107;31;40.0;1.67;0.95;-0.8;-0.57;2.98;1.93;-0.37;-0.09;1.18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIS.ST;11;5150;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5150&marketid=11
AZA.ST;AVANZA BANK HOLDING;445.0;72.2;138;78.9;158;77.6;304;76.2;200;38;86.5;2.91;1.76;-1.25;-1.25;3.42;2.35;1.06;1.99;1.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;11;988;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=988&marketid=11
AZN.ST;ASTRAZENECA;567.3;63.6;99;64.5;148;64.6;229;64.2;158;32;56.2;3.04;2.03;-1.34;-0.96;5.7;3.36;0.67;1.82;1.1;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZN.ST;11;3524;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3524&marketid=11
