NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;PRICE;ACTIVE;ACTIVE_TEMP;VOLUME_HELD;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE
IMMNOV.ST;IMMUNOVIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;Immunovia AB;IMMNOV;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115966&marketid=11;11;115966;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;165.0;;;;38.0;63.2;5.26;2.42;-2.1;9.79;-1.78;7.63;4.1;5.35;-1.15;-1.84;0.91;1.23;2.95;3.51;2.04;2.28;1.08
TROAX.ST;TROAX GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST;Troax Group AB;TROAX;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107899&marketid=11;11;107899;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;297.0;;;;35.0;64.7;4.12;2.1;-1.04;7.52;-0.78;6.07;3.58;4.42;-0.5;-0.91;1.05;1.31;3.08;3.51;2.03;2.2;1.01
NOTE.ST;NOTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;NOTE AB;NOTE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25319&marketid=11;11;25319;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;22.7;;;;31.0;71.0;4.27;2.1;-1.14;6.63;-1.3;5.12;3.15;4.27;-0.53;-0.79;0.6;0.98;2.62;3.48;2.02;2.5;1.32
ORX.ST;OREXO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;Orexo AB;ORX;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=31885&marketid=11;11;31885;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;34.7;;;;37.0;55.6;5.8;3.74;-2.03;8.64;-1.79;8.4;3.85;3.87;-1.14;-1.43;0.7;2.02;2.71;2.44;2.01;0.42;1.5
RAY-B.ST;RAYSEARCH LABORATORIES B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;RaySearch Laboratories AB ser. B;RAY B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;11;1063;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;109.2;;;;33.0;62.5;6.04;3.15;-0.85;9.04;-0.37;6.67;3.97;5.27;-0.73;-2.0;1.25;1.48;3.24;3.27;1.99;1.79;2.41
BIOT.ST;BIOTAGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;Biotage AB;BIOT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;11;5209;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;103.6;;;;36.0;66.7;4.54;2.21;-1.8;8.66;-1.96;7.49;4.26;5.09;-1.23;-1.37;1.33;1.84;3.03;3.72;1.7;1.88;1.0
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;Sportamore AB;SPOR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11;11;90180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;109.0;;;;34.0;67.6;5.4;3.66;-1.47;8.76;-1.23;5.52;3.24;5.36;-0.8;-1.49;0.74;1.39;2.44;3.87;1.7;2.48;1.43
CTT.ST;CTT SYSTEMS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;CTT Systems AB;CTT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11;11;3081;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;212.0;;;;32.0;78.1;4.57;2.53;-0.9;7.84;-0.75;4.79;3.44;5.79;-0.88;-1.18;0.88;1.25;2.56;4.61;1.68;3.36;1.0
ACAN-B.ST;ACANDO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;Acando AB ser. B;ACAN B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11;11;981;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;32.5;;;;32.0;71.9;3.58;2.79;-1.63;5.72;-1.27;4.38;2.68;3.55;-0.42;-0.86;0.61;1.0;2.26;2.69;1.65;1.69;1.04
ENQ.ST;ENQUEST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;EnQuest PLC;ENQ;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11;11;75073;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;3.835;;;;36.0;71.4;7.42;3.78;-2.98;10.79;-2.07;7.32;4.53;6.74;-0.84;-0.13;2.04;4.39;3.69;6.61;1.65;2.22;1.19
